Date,Steps,
1/2/24,"6,890",
2/2/24,"8,035",
3/2/24,"14,513",
4/2/24,"4,343",
5/2/24,"2,783",
6/2/24,"7,891",
7/2/24,"10,254",
8/2/24,"7,813",
9/2/24,"14,803",
10/2/24,"5,181",
11/2/24,"1,113",
12/2/24,"3,982",
13/2/24,"6,638",
14/2/24,"4,378",
15/2/24,"7,815",
16/2/24,"4,643",
17/2/24,"5,898",
18/2/24,"13,143",
19/2/24,"5,447",
20/2/24,"1,583",
21/2/24,"2,126",
22/2/24,"8,476",
23/2/24,"5,093",
24/2/24,"6,534",
25/2/24,728,
26/2/24,"5,429",
27/2/24,"5,156",
28/2/2024,"6,125",
29/2/24,"3,408",